Level,ParentName,ParentId,CategoryName,CategoryId,Count,CategoryUrl,FullPath
1,,,【传统线上】淘拼热款,205890522,23,https://yixingfangsc.1688.com/page/offerlist_205890522.htm,【传统线上】淘拼热款
1,,,【霏慕免洗内衣】安心不贵-拆开即穿,214303185,44,https://yixingfangsc.1688.com/page/offerlist_214303185.htm,【霏慕免洗内衣】安心不贵-拆开即穿
1,,,【计生专区】大牌避孕套,26325346,40,https://yixingfangsc.1688.com/page/offerlist_26325346.htm,【计生专区】大牌避孕套
1,,,【每月上新】抢占先机,53547757,771,https://yixingfangsc.1688.com/page/offerlist_53547757.htm,【每月上新】抢占先机
1,,,【男用专区】自主品牌谜姬以及市场热门品牌,26325363,469,https://yixingfangsc.1688.com/page/offerlist_26325363.htm,【男用专区】自主品牌谜姬以及市场热门品牌
1,,,【女用专区】自主品牌谜姬安可尼以及市场热门品牌,26325357,409,https://yixingfangsc.1688.com/page/offerlist_26325357.htm,【女用专区】自主品牌谜姬安可尼以及市场热门品牌
1,,,【品牌专区】各个品牌挑选区,27133010,793,https://yixingfangsc.1688.com/page/offerlist_27133010.htm,【品牌专区】各个品牌挑选区
1,,,【情趣内衣-霏慕】,26325344,818,https://yixingfangsc.1688.com/page/offerlist_26325344.htm,【情趣内衣-霏慕】
1,,,【情趣专区】自主品牌谜姬以及热门品牌,26325367,394,https://yixingfangsc.1688.com/page/offerlist_26325367.htm,【情趣专区】自主品牌谜姬以及热门品牌
1,,,【私域内容】抖微好物,205890523,16,https://yixingfangsc.1688.com/page/offerlist_205890523.htm,【私域内容】抖微好物
1,,,【外卖实体】必买清单,208785104,10,https://yixingfangsc.1688.com/page/offerlist_208785104.htm,【外卖实体】必买清单
1,,,【外卖实体】带图片卡纸内衣,207640198,159,https://yixingfangsc.1688.com/page/offerlist_207640198.htm,【外卖实体】带图片卡纸内衣
1,,,【组合链接专区】,211965359,31,https://yixingfangsc.1688.com/page/offerlist_211965359.htm,【组合链接专区】
1,,,谜姬电动,217268410,341,https://yixingfangsc.1688.com/page/offerlist_217268410.htm,谜姬电动
1,,,谜姬非电动,217268409,454,https://yixingfangsc.1688.com/page/offerlist_217268409.htm,谜姬非电动
1,,,未分类,-2,18,https://yixingfangsc.1688.com/page/offerlist_-2.htm,未分类
